"","Experiment","Person","Repetition","Time","X","Y","Z"
"48479","5","9","5","79",56.5817895113541,0.691572636467181,29.7861171107964
"48480","5","9","5","80",56.8509633168402,0.721255217350411,28.8256171039394
"48481","5","9","5","81",57.0760134962876,0.734359514161859,27.9110541769393
"48482","5","9","5","82",57.2547052334412,0.736297744612754,27.0553394076433
"48483","5","9","5","83",57.4045367778336,0.739397853872844,26.2504080804558
"48484","5","9","5","84",57.5313586067078,0.736468885433299,25.4924170777644
"48485","5","9","5","85",57.622512590719,0.742179541989223,24.7823969984458
"48486","5","9","5","86",57.7087859633372,0.741808075759965,24.1201329681726
"48487","5","9","5","87",57.7643859120926,0.743051797438959,23.4829880232356
"48488","5","9","5","88",57.7895594678844,0.753294410956222,22.8882925621619
"48489","5","9","5","89",57.9251008569646,0.613976384326473,22.6757844278031
"48490","5","9","5","90",58.1579540982749,0.392332591382881,22.5786282142963
"48491","5","9","5","91",58.3403962646019,0.264718213438433,22.5697942933644
"48492","5","9","5","92",58.3934227615387,0.189268196453517,22.5687169137376
"48493","5","9","5","93",58.5757967327383,0.0101103346124017,22.5330472987162
"48494","5","9","5","94",58.6570456013152,-0.0910796082251646,22.5166997154755
"48495","5","9","5","95",58.7280662833085,-0.147488721080044,22.5345212456784
"48496","5","9","5","96",58.8522668626141,-0.190878861220787,22.5513576010574
"48497","5","9","5","97",58.9145145020809,-0.184527963408106,22.5545286291015
"48498","5","9","5","98",58.9878243562219,-0.175083605703898,22.566173025553
"48499","5","9","5","99",59.073602735294,-0.150865941803189,22.579838113014
"48500","5","9","5","100",59.1320492442314,-0.117804314684026,22.5838532096567
"48501","5","9","6","1",-0.0919101056557352,-0.911808183130402,22.3754163456275
"48502","5","9","6","2",-0.0957901987547415,-0.896505017102191,22.3822962124869
"48503","5","9","6","3",-0.142328721622641,-0.891612729249818,22.3655428988332
"48504","5","9","6","4",-0.177213676616988,-0.841507341896446,22.3639816460582
"48505","5","9","6","5",-0.183582694771801,-0.754012359317694,22.4229274941172
"48506","5","9","6","6",-0.192775478185967,-0.674433184847458,22.5605694779256
"48507","5","9","6","7",-0.184241959792455,-0.617529147624614,22.7905137791404
"48508","5","9","6","8",-0.113415507026812,-0.595090529851788,23.1781259424697
"48509","5","9","6","9",0.0491210284143147,-0.612173919050358,23.7320716688931
"48510","5","9","6","10",0.277076723327478,-0.644525942260224,24.4249096932959
"48511","5","9","6","11",0.518902454341645,-0.696857105819921,25.224621680185
"48512","5","9","6","12",0.821786530609523,-0.76121432034824,26.1659926152224
"48513","5","9","6","13",1.15433927394914,-0.852409261359096,27.2312000528769
"48514","5","9","6","14",1.53626634867985,-0.972824578711157,28.3986987164138
"48515","5","9","6","15",1.99033142990448,-1.11833746391154,29.669541396004
"48516","5","9","6","16",2.51473588739486,-1.30046496257399,31.0366502414321
"48517","5","9","6","17",3.08432146668342,-1.51351143836887,32.4662203235176
"48518","5","9","6","18",3.7105401866536,-1.74597218703197,33.9422491751058
"48519","5","9","6","19",4.42858933462791,-2.01891442749095,35.4672875607751
"48520","5","9","6","20",5.18008456317615,-2.31156418152339,37.0133214069603
"48521","5","9","6","21",6.0078275796299,-2.64372233720502,38.5841129155045
"48522","5","9","6","22",6.86799273274675,-2.98114806274334,40.1387876904019
"48523","5","9","6","23",7.81849609465124,-3.36455221463033,41.6627947772622
"48524","5","9","6","24",8.82006238716379,-3.74283561278248,43.1547147448207
"48525","5","9","6","25",9.86749157819138,-4.13258962797192,44.5883258175819
"48526","5","9","6","26",10.9767656225372,-4.50769462414242,45.9784026071543
"48527","5","9","6","27",12.1497281730689,-4.89468457893647,47.2974860108648
"48528","5","9","6","28",13.3487532385587,-5.27422647392581,48.5371882541226
"48529","5","9","6","29",14.5785802258834,-5.64968346596363,49.6986742147672
"48530","5","9","6","30",15.8122887046652,-6.02943484389242,50.7813930645787
"48531","5","9","6","31",17.0397757076652,-6.41459716216128,51.7663406801703
"48532","5","9","6","32",18.2737088753224,-6.76514590996031,52.6900013302998
"48533","5","9","6","33",19.5113888642126,-7.0883013490107,53.5192931260396
"48534","5","9","6","34",20.7524323952588,-7.38009877762208,54.2764708255139
"48535","5","9","6","35",21.9735107275674,-7.64873452690019,54.9196496343885
"48536","5","9","6","36",23.1755371832593,-7.85871340843326,55.4846063605937
"48537","5","9","6","37",24.368865969805,-8.04502623225282,55.9794338950797
"48538","5","9","6","38",25.5256729459263,-8.21510671641962,56.385014313998
"48539","5","9","6","39",26.6696896905226,-8.35279830609152,56.709326578352
"48540","5","9","6","40",27.7936937825099,-8.46006630744833,56.9469032489062
"48541","5","9","6","41",28.9018749218778,-8.51379358614467,57.1112111377537
"48542","5","9","6","42",29.999221419394,-8.52741467520136,57.2067790103116
"48543","5","9","6","43",31.0929185314556,-8.48025311063561,57.2262456480305
"48544","5","9","6","44",32.1865195031552,-8.38285858908933,57.1729833923061
"48545","5","9","6","45",33.2744748660317,-8.25451262743168,57.0290836693402
"48546","5","9","6","46",34.3459956432683,-8.08911330270946,56.8018448951023
"48547","5","9","6","47",35.3975568015857,-7.87866575695286,56.5078425405105
"48548","5","9","6","48",36.4314155973667,-7.65089963580478,56.1299853306876
"48549","5","9","6","49",37.4477314326673,-7.40854560835896,55.6849630335965
"48550","5","9","6","50",38.463975696516,-7.13656589821973,55.1776411045218
"48551","5","9","6","51",39.4846445075127,-6.84440219656575,54.6091297836224
"48552","5","9","6","52",40.4834765605297,-6.53071025939626,53.9614110376304
"48553","5","9","6","53",41.4596818615001,-6.18497071504868,53.2445068890912
"48554","5","9","6","54",42.4109895620554,-5.80841071056433,52.4599139389421
"48555","5","9","6","55",43.3545310566858,-5.40750541830179,51.6195792953188
"48556","5","9","6","56",44.2634503128167,-5.00016717835522,50.6990779235066
"48557","5","9","6","57",45.1494179164383,-4.5958096115807,49.7056794211277
"48558","5","9","6","58",46.0325805702008,-4.20206174712473,48.6624279293803
"48559","5","9","6","59",46.9312744957621,-3.82638768776459,47.5831653719456
"48560","5","9","6","60",47.8265242958735,-3.45386106563236,46.4690274521379
"48561","5","9","6","61",48.7103693996054,-3.09554203529661,45.312058331069
"48562","5","9","6","62",49.5702817099363,-2.74820555373397,44.1291514780951
"48563","5","9","6","63",50.3726496248375,-2.38686942551534,42.9114071411152
"48564","5","9","6","64",51.1077684820652,-2.01379953630211,41.6479356059977
"48565","5","9","6","65",51.8357863800467,-1.70162356710633,40.4043704526567
"48566","5","9","6","66",52.5585988745654,-1.43484221751752,39.1836750067702
"48567","5","9","6","67",53.238035303712,-1.17760468901989,37.9636103001103
"48568","5","9","6","68",53.8696691574867,-0.944508121236105,36.771814019671
"48569","5","9","6","69",54.4527620842428,-0.740634443953861,35.6193731559212
"48570","5","9","6","70",54.986855880262,-0.573569392705375,34.5169018860209
"48571","5","9","6","71",55.4645434893761,-0.433219979902689,33.4547036220729
"48572","5","9","6","72",55.8759623697103,-0.310227644496381,32.436294111538
"48573","5","9","6","73",56.2256988762102,-0.194638650868003,31.4645715833302
"48574","5","9","6","74",56.5403262924059,-0.0985292382452365,30.5544112102895
"48575","5","9","6","75",56.8339282300197,-0.0215288230894662,29.6983549954979
"48576","5","9","6","76",57.1018091223933,0.0473793863705374,28.8811253502078
"48577","5","9","6","77",57.3491462423434,0.119924418473748,28.1191973734835
"48578","5","9","6","78",57.5650428091268,0.196119524576347,27.4000789338317
"48579","5","9","6","79",57.74551166455,0.267539589566091,26.7389974058767
"48580","5","9","6","80",57.8693798176866,0.346244724696078,26.1228239984895
"48581","5","9","6","81",57.9550343787315,0.423619574741264,25.5435021259527
"48582","5","9","6","82",58.0127506165665,0.486898048040135,24.9971081168283
"48583","5","9","6","83",58.047904238903,0.551167661762911,24.4850678786341
"48584","5","9","6","84",58.0704205450662,0.621066332290488,23.990688500728
"48585","5","9","6","85",58.0785049992693,0.709703414666243,23.4961418531574
"48586","5","9","6","86",58.0790523123757,0.816809538390055,23.00429008877
"48587","5","9","6","87",58.1156731841866,0.881278737640614,22.7002841985007
"48588","5","9","6","88",58.1786647410463,0.776117243944604,22.5874405509553
"48589","5","9","6","89",58.2222310138263,0.672940683829205,22.5814201932822
"48590","5","9","6","90",58.1952525560538,0.661014471174078,22.5823128515739
"48591","5","9","6","91",58.1966428361106,0.631972241198436,22.5707813537286
"48592","5","9","6","92",58.2257869225788,0.536064331573513,22.5579273893362
"48593","5","9","6","93",58.2848365927315,0.429093580702638,22.5556337010243
"48594","5","9","6","94",58.3267442294258,0.32657873257564,22.5527707671885
"48595","5","9","6","95",58.3767475430755,0.189414509943522,22.5549028882817
"48596","5","9","6","96",58.419639931063,0.0537078930163847,22.5558085651651
"48597","5","9","6","97",58.4519152764953,-0.0626592908053741,22.5646229386282
"48598","5","9","6","98",58.4655532031222,-0.156071099234034,22.5692105983585
"48599","5","9","6","99",58.4790276426625,-0.23316057297407,22.5680414183044
"48600","5","9","6","100",58.4815931233892,-0.249156141395007,22.5570934264088
"48601","5","9","7","1",-0.584684843625171,0.0445434411661805,22.4072521234978
"48602","5","9","7","2",-0.586976390859267,0.0439502382787939,22.4083123407026
"48603","5","9","7","3",-0.584471744908278,0.0534373775760634,22.4048541809497
"48604","5","9","7","4",-0.566104360520952,0.0539830548732325,22.4204701318659
"48605","5","9","7","5",-0.650168901646681,0.0734422510329093,22.4217738097288
"48606","5","9","7","6",-0.81017584712021,0.102749814904094,22.4233876658698
"48607","5","9","7","7",-0.969278624846242,0.125913155432395,22.4223187927739
"48608","5","9","7","8",-1.11254582456283,0.124475830739506,22.4070514998723
"48609","5","9","7","9",-1.11995909445111,0.164522119840888,22.4380200602845
"48610","5","9","7","10",-1.07155263964235,0.249468330319973,22.5531530016984
"48611","5","9","7","11",-1.04814238964912,0.337364489740279,22.7964740209603
"48612","5","9","7","12",-1.01267530142667,0.397757909109157,23.1504467303676
"48613","5","9","7","13",-0.930839815802954,0.39814127453239,23.6093155383623
"48614","5","9","7","14",-0.764025151784937,0.354834319142258,24.1916893311353
"48615","5","9","7","15",-0.533015514677305,0.283671674718127,24.8885745577602
"48616","5","9","7","16",-0.262951137244004,0.186550411286643,25.6941628527392
"48617","5","9","7","17",0.0478881725682275,0.0540787988700946,26.6136499950217
"48618","5","9","7","18",0.400519083722568,-0.12189123257848,27.6218939341295
"48619","5","9","7","19",0.805780839999912,-0.340124566184112,28.7203776369614
"48620","5","9","7","20",1.23700314929237,-0.595306931983115,29.8956291270647
"48621","5","9","7","21",1.68913529087272,-0.879717408814532,31.1166468426554
"48622","5","9","7","22",2.21250925595051,-1.19469406465379,32.3927365208297
"48623","5","9","7","23",2.78280974572281,-1.53405490875896,33.6888689885205
"48624","5","9","7","24",3.40111644930792,-1.88189679905447,34.996038145184
"48625","5","9","7","25",4.07807330862388,-2.23929235923646,36.3311372819604
"48626","5","9","7","26",4.76967327834178,-2.58328091105005,37.6888896567684
"48627","5","9","7","27",5.56321382590702,-2.94323665507032,39.0168255388905
"48628","5","9","7","28",6.36766178003304,-3.29462743754195,40.3425825528419
"48629","5","9","7","29",7.22382533897118,-3.64711506691349,41.6336830956669
"48630","5","9","7","30",8.11239363375249,-4.00144806591524,42.8902228656178
"48631","5","9","7","31",9.02939080694637,-4.34423144517632,44.0991156374908
"48632","5","9","7","32",9.98792705336976,-4.68599928353499,45.2713926925496
"48633","5","9","7","33",10.9544077655096,-4.99461795293179,46.3740133911163
"48634","5","9","7","34",11.9140446297486,-5.26944681201567,47.4236645252013
"48635","5","9","7","35",12.8925803020052,-5.50748631251996,48.420226830558
"48636","5","9","7","36",13.8821266095446,-5.74502707377566,49.3462941905131
"48637","5","9","7","37",14.8833430101594,-5.82511957151847,49.7567666534157
"48638","5","9","7","38",15.8853137381936,-5.89471659091794,50.1330177252147
"48639","5","9","7","39",16.8872844662279,-5.96431361031741,50.5092687970136
